,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,Banned,,19 Points,,T,,,18 Points,,T,,,17 Points,,T,,,16 Points,,T,,,15 Points,,T,,,14 Points,,T,,,13 Points,,T,,,12 Points,,T,,,11 Points,,T,,,10 Points,,T,,,9 Points,,T,,,8 Points,,T,,,7 Points,,T,,,6 Points,,T,,,5 Points,,T,,,4 Points,,T,,,3 Points,,T,,,2 Points,,T,,,1 Point,,T,
,,,Arceus,,,Dragapult,-,-,,,Garchomp,-,-,,,Darkrai,-,-,,,Celesteela,-,-,,,Aegislash,-,-,,,Galarian Slowking,-,-,,,Annihilape,-,-,,,Alomomola,-,-,,,Archaludon,-,-,,,Blacephalon,-,-,,,Azelf,-,-,,,Basculegion,-,-,,,Alolan Muk,7,-,,,Amoonguss,6,-,,,Abomasnow,6,-,,,Accelgor,4,-,,,Alolan Persian,3,-,,,Alolan Exeggutor,3,-,,,Abra,1,-
,,,Calyrex-Ice Rider,,,Iron Valiant,-,-,,,Great Tusk,-,-,,,Mega Diancie,-,-,,,Deoxys-Speed,-,-,,,Chi-Yu,-,-,,,Gliscor,-,-,,,Baxcalibur,-,-,,,Blaziken,-,-,,,Azumarill,-,-,,,Ceruledge,-,-,,,Bisharp,-,-,,,Cobalion,-,-,,,Alolan Ninetales,7,-,,,Araquanid,10,-,,,Alakazam,-,-,,,Aerodactyl,5,-,,,Alolan Raichu,4,-,,,Alolan Marowak,2,-,,,Absol,2,-
,,,Calyrex-Shadow Rider,,,Mega Delphox,-,-,,,Landorus-T,-,-,,,Mega Floette-Eternal,-,-,,,Gholdengo,-,-,,,Cinderace,-,-,,,Hisuian Samurott,-,-,,,Iron Moth,-,-,,,Clefable,-,-,,,Buzzwole,-,-,,,Cyclizar,10,-,,,Blastoise,-,-,,,Conkeldurr,-,-,,,Arcanine,10,-,,,Barraskewda,-,-,,,Armarouge,-,-,,,Arctozolt,-,-,,,Arboliva,6,-,,,Alolan Sandslash,3,-,,,Aggron,2,-
,,,Chien-Pao,,,Mega Greninja,-,-,,,Mega Gallade,-,-,,,Mega Latios,-,-,,,Greninja,-,-,,,Dragonite,-,-,,,Jirachi,-,-,,,Keldeo,-,-,,,Corviknight,-,-,,,Ferrothorn,-,-,,,Deoxys-Defense,-,-,,,Donphan,9,-,,,Cresselia,-,-,,,Bronzong,8,-,,,Celebi,-,-,,,Bellibolt,7,-,,,Chandelure,7,-,,,Aromatisse,3,-,,,Ambipom,3,-,,,Aipom,1,-
,,,Necrozma-Dawn-Wings,,,,,,,,Meowscarada,-,-,,,Mega Lopunny,-,-,,,Iron Bundle,-,-,,,Gouging Fire,-,-,,,Mega Aerodactyl,-,-,,,Latias,-,-,,,Dracovish,-,-,,,Galarian Darmanitan,-,-,,,Empoleon,-,-,,,Excadrill,-,-,,,Crobat,-,-,,,Diancie,10,-,,,Clodsire,-,-,,,Blissey,7,-,,,Chansey,6,-,,,Audino,5,-,,,Archeops,3,-,,,Alcremie,3,-
,,,Deoxys,,,,,,,,Tapu Koko,-,-,,,Sneasler,-,-,,,Kyurem,-,-,,,Iron Treads,-,-,,,Mega Charizard Y,-,-,,,Latios,-,-,,,Enamorus,-,-,,,Heatran,-,-,,,Gothitelle,-,-,,,Fezandipiti,-,-,,,Galarian Weezing,-,-,,,Enamorus-T,-,-,,,Comfey,-,-,,,Brambleghast,7,-,,,Chesnaught,7,-,,,Bewear,4,-,,,Arctovish,3,-,,,Alolan Diglett,1,-
,,,Deoxys-Attack,,,,,,,,Terapagos,-,-,,,Spectrier,-,-,,,Landorus,-,-,,,Kartana,-,-,,,Mega Dragonite,-,-,,,Mega Charizard X,-,-,,,Glimmora,-,-,,,Mega Blastoise,-,-,,,Hawlucha,-,-,,,Galarian Moltres,-,-,,,Gardevoir,10,-,,,Hatterene,10,-,,,Diggersby,10,-,,,Braviary,5,-,,,Cloyster,-,-,,,Cetitan,8,-,,,Articuno,4,-,,,Alolan Dugtrio,2,-
,,,Dialga,,,,,,,,Tornadus-T,-,-,,,Ting-Lu,-,-,,,Mega Froslass,-,-,,,Mega Medicham,-,-,,,Mega Garchomp,-,-,,,Mega Dragalge,-,-,,,Hydreigon,-,-,,,Mega Gardevoir,-,-,,,Krookodile,-,-,,,Galarian Zapdos,-,-,,,Gengar,-,-,,,Haxorus,-,-,,,Dragalge,8,-,,,Breloom,-,-,,,Cryogonal,5,-,,,Cinccino,6,-,,,Avalugg,4,-,,,Alolan Geodude,1,-
,,,Dialga-Origin,,,,,,,,,,,,,,,,,,Mega Mawile,-,-,,,Mew,-,-,,,Mega Staraptor,-,-,,,Mega Glimmora,-,-,,,Iron Crown,-,-,,,Mega Meganium,-,-,,,Manaphy,-,-,,,Hisuian Lilligant,-,-,,,Grimmsnarl,9,-,,,Hisuian Goodra,10,-,,,Floette-Eternal,-,-,,,Cofagrigus,6,-,,,Decidueye,5,-,,,Ditto,4,-,,,Bouffalant,2,-,,,Alolan Golem,2,-
,,,Necrozma-Dusk-Mane,,,,,,,,,,,,,,,,,,Mega Scizor,-,-,,,Urshifu-RS,-,-,,,Melmetal,-,-,,,Mega Raichu X,-,-,,,Iron Hands,-,-,,,Mega Skarmory,-,-,,,Mandibuzz,10,-,,,Hydrapple,-,-,,,Hisuian Arcanine,-,-,,,Hisuian Qwilfish,10,-,,,Florges,10,-,,,Darmanitan,-,-,,,Delphox,7,-,,,Doublade,4,-,,,Brute Bonnet,4,-,,,Alolan Graveler,1,-
